id,name
11000,/c/LANL-Earthquake-Prediction
10385,/c/santander-customer-transaction-prediction
3136,/c/titanic
10683,/c/microsoft-malware-prediction
5407,/c/house-prices-advanced-regression-techniques
10737,/c/quora-insincere-questions-classification
10684,/c/vsb-power-line-fault-detection
8076,/c/jigsaw-toxic-comment-classification-challenge
10300,/c/tmdb-box-office-prediction
10445,/c/elo-merchant-category-recommendation
12832,/c/challenge-sm
6818,/c/humpback-whale-identification
11999,/c/mens-machine-learning-competition-2019
6644,/c/instacart-market-basket-analysis
9717,/c/santander-value-prediction-challenge
3004,/c/digit-recognizer
13069,/c/aia-tc-2-image-cla-where-am-i
10211,/c/home-data-for-ml-course
13154,/c/datamining2019
9120,/c/home-credit-default-risk
6004,/c/data-science-bowl-2017
6649,/c/zillow-prize-1
6277,/c/quora-question-pairs
12896,/c/dont-overfit-ii
11848,/c/histopathologic-cancer-detection
8089,/c/data-science-bowl-2018
7277,/c/recruit-restaurant-visitor-forecasting
10335,/c/pubg-finish-placement-prediction
10038,/c/ga-customer-revenue-prediction
7634,/c/tensorflow-speech-recognition-challenge
10151,/c/tgs-salt-identification-challenge
7559,/c/mercari-price-suggestion-challenge
9933,/c/two-sigma-financial-news
10418,/c/human-protein-atlas-image-classification
7082,/c/porto-seguro-safe-driver-prediction
7516,/c/spooky-author-identification
6960,/c/nyc-taxi-trip-duration
13061,/c/discount-prediction
5325,/c/allstate-claims-severity
13117,/c/feedzai-s-catch-the-fraudster
7391,/c/favorita-grocery-sales-forecasting
5590,/c/two-sigma-connect-rental-listing-inquiries
8540,/c/talkingdata-adtracking-fraud-detection
8426,/c/donorschoose-application-screening
12382,/c/property-price-prediction-challenge
7380,/c/statoil-iceberg-classifier-challenge
10170,/c/new-york-city-taxi-fare-prediction
6565,/c/mercedes-benz-greener-manufacturing
12886,/c/gesture-detection
6961,/c/whale-categorization-playground
10686,/c/petfinder-adoption-prediction
8586,/c/avito-demand-prediction
7878,/c/trackml-particle-identification
10338,/c/rsna-pneumonia-detection-challenge
6768,/c/web-traffic-time-series-forecasting
4594,/c/rossmann-store-sales
6322,/c/planet-understanding-the-amazon-from-space
6392,/c/sberbank-russian-housing-market
10025,/c/movie-review-sentiment-analysis-kernels-only
10200,/c/quickdraw-doodle-recognition
8900,/c/freesound-audio-tagging
7327,/c/dog-breed-identification
8587,/c/competitive-data-science-predict-future-sales
4986,/c/santander-customer-satisfaction
10384,/c/PLAsTiCC-2018
4280,/c/otto-group-product-classification-challenge
9988,/c/airbus-ship-detection
5497,/c/outbrain-click-prediction
6841,/c/msk-redefining-cancer-treatment
5874,/c/two-sigma-financial-modeling
5558,/c/santander-product-recommendation
5408,/c/leaf-classification
3362,/c/dogs-vs-cats
5441,/c/dogs-vs-cats-redux-kernels-edition
13082,/c/estadstica-para-ciencia-de-datos
5039,/c/shelter-animal-outcomes
3948,/c/bike-sharing-demand
7163,/c/kkbox-churn-prediction-challenge
6775,/c/passenger-screening-algorithm-challenge
10733,/c/traveling-santa-2018-prime-paths
9840,/c/costa-rican-household-poverty-prediction
5340,/c/talkingdata-mobile-user-demographics
5568,/c/the-nature-conservancy-fisheries-monitoring
13034,/c/cs189-hw3-mnist
5261,/c/predicting-red-hat-business-value
4467,/c/caterpillar-tube-pricing
6243,/c/intel-mobileodt-cervical-cancer-screening
12797,/c/gendered-pronoun-resolution
7115,/c/cdiscount-image-classification-challenge
7299,/c/nomad2018-predict-transparent-conductors
7456,/c/landmark-recognition-challenge
9999,/c/demand-forecasting-kernels-only
6864,/c/nips-2017-non-targeted-adversarial-attack
6866,/c/nips-2017-targeted-adversarial-attack
10012,/c/whats-cooking-kernels-only
6927,/c/carvana-image-masking-challenge
12349,/c/2019-1st-ml-month-with-kakr
7880,/c/plant-seedlings-classification
5185,/c/kobe-bryant-shot-selection
8219,/c/imaterialist-challenge-fashion-2018
6049,/c/youtube8m
5260,/c/grupo-bimbo-inventory-demand
8310,/c/mens-machine-learning-competition-2018
4651,/c/airbnb-recruiting-new-user-bookings
7042,/c/text-normalization-challenge-english-language
4853,/c/home-depot-product-search-relevance
5056,/c/expedia-hotel-recommendations
3936,/c/forest-cover-type-prediction
5229,/c/draper-satellite-image-chronology
13060,/c/hack-prop
6867,/c/nips-2017-defense-against-adversarial-attack
4366,/c/predict-west-nile-virus
10386,/c/inclusive-images-challenge
5977,/c/santas-uncertain-bags
5357,/c/bosch-production-line-performance
8396,/c/landmark-retrieval-challenge
7173,/c/catch-me-if-you-can-intruder-detection-through-webpage-session-tracking2
4459,/c/introducing-kaggle-scripts
9949,/c/google-ai-open-images-object-detection-track
8220,/c/imaterialist-challenge-furniture-2018
4407,/c/crowdflower-search-relevance
5916,/c/dstl-satellite-imagery-feature-detection
4272,/c/restaurant-revenue-prediction
5390,/c/melbourne-university-seizure-prediction
5186,/c/facebook-v-predicting-check-ins
4852,/c/bnp-paribas-cardif-claims-management
4453,/c/icdm-2015-drawbridge-cross-device-connections
4458,/c/sf-crime
10014,/c/flavours-of-physics-kernels-only
11835,/c/reducing-commercial-aviation-fatalities
12125,/c/NFL-Punt-Analytics-Competition
11880,/c/dont-call-me-turkey
11637,/c/ift3395-6390-f2018
3486,/c/facial-keypoints-detection
9951,/c/google-ai-open-images-visual-relationship-track
9985,/c/forest-cover-type-kernels-only
8011,/c/santa-gift-matching
7162,/c/kkbox-music-recommendation-challenge
5708,/c/ghouls-goblins-and-ghosts-boo
5144,/c/ultrasound-nerve-segmentation
4471,/c/liberty-mutual-group-property-inspection-prediction
4481,/c/coupon-purchase-prediction
4477,/c/grasp-and-lift-eeg-detection
13000,/c/logisticregressionlecture
12861,/c/ds1-predictive-modeling-challenge
12133,/c/20-newsgroups-ciphertext-challenge
12087,/c/2018-hse-ml-competion-03
3316,/c/bluebook-for-bulldozers
5693,/c/transfer-learning-on-stack-exchange-tags
6100,/c/march-machine-learning-mania-2017
4862,/c/march-machine-learning-mania-2016
4699,/c/prudential-life-insurance-assessment
5048,/c/state-farm-distracted-driver-detection
4526,/c/whats-cooking
3949,/c/random-acts-of-pizza
4657,/c/homesite-quote-conversion
5314,/c/integer-sequence-learning
5127,/c/painter-by-numbers
4353,/c/pycon-2015-tutorial
5174,/c/avito-duplicate-ads-detection
4488,/c/flavours-of-physics
4829,/c/yelp-restaurant-photo-classification
4494,/c/cervical-cancer-screening
4704,/c/santas-stolen-sleigh
4495,/c/how-much-did-it-rain-ii
4406,/c/denoising-dirty-documents
4383,/c/pkdd-15-taxi-trip-time-prediction-ii
4438,/c/avito-context-ad-clicks
9301,/c/youtube8m-2018
9430,/c/ods-class-cs231n
12000,/c/womens-machine-learning-competition-2019
8673,/c/how-good-is-your-medium-article
6116,/c/noaa-fisheries-steller-sea-lion-population-count
4378,/c/pkdd-15-predict-taxi-service-trajectory-i
3971,/c/word2vec-nlp-tutorial
8899,/c/cvpr-2018-autonomous-driving
7043,/c/text-normalization-challenge-russian-language
7039,/c/competitive-data-science-final-project
8078,/c/sp-society-camera-model-identification
6469,/c/invasive-species-monitoring
8785,/c/receipt-categorisation
12604,/c/armut-challenge
8311,/c/womens-machine-learning-competition-2018
9300,/c/flight-delays-spring-2018
9103,/c/deeplearningfornaturallanguageprocessinghw3
8170,/c/acoustic-scene-2018
12695,/c/t-padhai-module1-level-1
9468,/c/kaggledays
9048,/c/ee448-2018-link-prediction
8889,/c/taiwan-aia-image-classification
4195,/c/how-much-did-it-rain
8809,/c/shopee-iet-machine-learning-competition
9023,/c/guess-the-correlation
4104,/c/diabetic-retinopathy-detection
12464,/c/uwndc19
9102,/c/dap2018-nagyhazi
9010,/c/house-price-predict
12611,/c/ift6135h19
11397,/c/mpa805
10428,/c/pycon-korea-2018-tutorial
9986,/c/cloud-faculty-institute-workshop
9182,/c/randomsequence
8773,/c/hawaiiml0
8514,/c/dmia-surnames-classification
12503,/c/housing-challenge-4870
7509,/c/recommender-system-2018-challenge-polimi
10992,/c/databreak-2018-hello-kaggler
9589,/c/ki-whs-a3
9380,/c/music-information-retrievel-3rd-edition
8958,/c/medical-school-admissions
8601,/c/tap30challenge
9748,/c/ubaar-competition
12675,/c/kaggledays-paris
3816,/c/walmart-recruiting-store-sales-forecasting
10974,/c/call-competitions
11847,/c/mba
11459,/c/bc-ratings
11473,/c/careemaiwar
11139,/c/synthessence2k18
9982,/c/digital-economy-network-summer-school-task
9696,/c/numta
9485,/c/receipt-categorisation-afterparty
9487,/c/winequality
9433,/c/bcpnews
8244,/c/tracy-regression
8286,/c/ai-community-inno-3
12773,/c/competicao-dsa-machine-learning-jan-2019
12432,/c/2018-characters-classification
12263,/c/cell-me
12167,/c/dlschool-fashionmnist2
10982,/c/IIITB-ML-toxic-comment-classification
12005,/c/ml4money
11374,/c/nicht-mnist
10915,/c/atz-ex-regression
10810,/c/lungs-patches-classification
10130,/c/kaggler-ja-inclass-competition-1
9795,/c/relex-pizza-challenge
9656,/c/ml-l1-cs1
9512,/c/uc3m-atd-challenge-2018
9405,/c/compomics2018
9568,/c/moneyball
6766,/c/sentiment-analysis-in-russian
9492,/c/banana-price-prediction
9356,/c/yidu-ai-course-i
8955,/c/lagos-ai-hackathon
8891,/c/ai-hack-2018-msk-bestfit
8611,/c/notmnist
11371,/c/uog-ml-1819-r
11751,/c/iesdm
12872,/c/firstoffour
12620,/c/first-challenge-find-the-output-number
12624,/c/digit-classification-dl-workshop
12335,/c/oxford-102-flower-pytorch
9917,/c/dai-june
12660,/c/eic-house-sales
11852,/c/journey-to-springfield
11797,/c/UKYCS460g2018sinkhole
10873,/c/dac-iitpkd-houseprice
9878,/c/beta-beta-decay-identification
12504,/c/ethicalml-cahousing
11803,/c/bgu2018
12025,/c/cs410ei339-fall18-stock-price-prediction
12223,/c/int18whs-classify-simple-data
11471,/c/makeene-learning-kaggle-contest-version-2
12161,/c/cmc-msu-317-prac-fall-2018
11963,/c/dra-18-winter-competition
11813,/c/atividade-4-versao-1
8625,/c/happiness-detection-v2
10673,/c/ai-camp-birmingham-2018
11175,/c/2018-hse-ml-competion-02
10818,/c/ai-academy-intermediate-class-competition-1
10903,/c/fia-ml-t5
10694,/c/pmr-3508-tarefa-2
10767,/c/bda2018personality
10426,/c/pmr3508-tarefa-1-3508-adult-dataset
10416,/c/webclubrecruitment2018
10178,/c/find-anomalies-for-dices
4729,/c/second-annual-data-science-bowl
2551,/c/GiveMeSomeCredit
9514,/c/cartesian-super-model-2018
9562,/c/allianz-kaggle-1
12652,/c/diabetes-classification
11647,/c/y-data-ps4ds-2018-turnover
11298,/c/ntust-information-retrieval-and-applications-hw3
10599,/c/bbvadatachallenge-recomendador
10224,/c/ucu-machine-learning-inclass
12687,/c/trendyol-project
3810,/c/sentiment-analysis-on-movie-reviews
11717,/c/word-similarity
11766,/c/ntust-information-retrieval-and-applications-hw4
11575,/c/2018falldatascience-hw3
11381,/c/stat-946-data-challenge
10703,/c/ml4nlp-sentiment-analysis
10815,/c/raladores
10213,/c/mdd-cup-2018
9776,/c/iust-nba-rookies
8317,/c/fake-news
12749,/c/cft-shift-purchase-prediction
10422,/c/airbnblala1
11840,/c/kba
12558,/c/widsdatathon2019
13074,/c/pitch
13049,/c/stat101ahouseprice
3539,/c/facebook-recruiting-iii-keyword-extraction
12929,/c/mnist-competition-AppliedAI
12844,/c/house-pricing-2019
11727,/c/fake-news-pair-classification-challenge
4117,/c/malware-classification
3788,/c/allstate-purchase-prediction-challenge
12396,/c/challengep
12261,/c/dm-and-pr-ws1819-machine-learning-competition
12328,/c/thetechnidus1
12073,/c/class-test-data-mining
12237,/c/challengest
12338,/c/processo-seletivo-epistemic-tm
12277,/c/classificationofshields
11825,/c/atividade-4-versao-2-fashion-mnist
12010,/c/tcds-machine-learning-1
11819,/c/challengepc
11300,/c/titanic-predict-fare
11588,/c/pneumonia-texture-analysis
11939,/c/challengebm
12070,/c/sutd-the-analytics-edge-data-competition
11572,/c/uai-soft-computing
11308,/c/ids-minor-web2-2018
8653,/c/elte-phys-photoz
11229,/c/atividade-3-pmr3508
3366,/c/challenges-in-representation-learning-the-black-box-learning-challenge
4571,/c/the-allen-ai-science-challenge
11125,/c/smlc
3649,/c/cifar-10
11313,/c/oxford-fashion-mnist
11239,/c/sqlsatmadrid2018
10410,/c/EdisysNlp
11025,/c/smu-opim-326-class-competition
11091,/c/upai-2
11036,/c/rupos2018
10754,/c/regression1830
3338,/c/amazon-employee-access-challenge
10811,/c/abbyymlhakathon-reviewsentiment
10393,/c/esuntoygame2018
10726,/c/gazing-with-machine-learning
10507,/c/mlcc
10397,/c/cluster-assignment-pgdds13
10167,/c/cart-classification-technique
10309,/c/horse-race-prediction-01
10214,/c/bank-marketing-uci
11126,/c/aia-tc-1-mid-term-exam-pm25-forecast
10598,/c/svnit-ml-1
10318,/c/bda-2018-test-competition
9716,/c/if702-redes-neurais-20181
10024,/c/lab-ml-itba-clasificacion-de-latidos
9608,/c/competition-2-lingvo-hse-2018-toxic-comment
9989,/c/fiducial-error-image-detection
8833,/c/badloan
6538,/c/inaturalist-challenge-at-fgvc-2017
9577,/c/dmbi-18-metro
9547,/c/dss-615
9464,/c/yidu-ai-week-2
9284,/c/prediction-task
8487,/c/sendgrid-account-signup-competition
9043,/c/dataton-urjc-2018
6647,/c/test-competition-please-ignore
8675,/c/adsse18
9165,/c/predict-forest-cover-type
8283,/c/parkinsons-detection
9266,/c/kmeansaiclub
8655,/c/comp551w18-modified-mnist
8716,/c/2018-spring-internal-practice
8303,/c/motor-bpm
12490,/c/sce-data-science-course
12488,/c/wecml24hrhackathon
12329,/c/multitask-music-classification
10943,/c/political-alignment-prediction
10710,"/c/2018 Travelers Statistical Modeling Competition"
11172,/c/hmif-iit-challenge-2018-dataset-1
9847,/c/udacity-mlcharity-competition
11145,/c/bda-2018-scene-recognition
10847,/c/sigmasitepredictions
10239,/c/accidentseveritys
10296,/c/churn-analytics-bda
10183,/c/kddbr-2018
12999,/c/yandex-music-event-2019-02-16
12670,/c/allianz-conversion-rate-prediction
12543,/c/2018mlintersession
11954,/c/superconductivity
11796,/c/bgu-nomad
12224,/c/delays-prediction
12188,/c/as712
12006,/c/hsmaws18
11979,/c/ukycs460g2018images
11750,/c/automlsydney
11507,/c/datamininglab2
10911,/c/unswdatathon2018
10801,/c/abbyy-redwine
10484,/c/fs-machine-learning-training
10204,/c/asasssa
9860,/c/logos-speechrecog
9741,/c/irisdemo
9015,/c/capitec-bblb-th
12974,/c/movies
12635,/c/comp-540-spring-2019
12755,/c/agrupamento-de-dados-ufv-crp
12911,/c/iste-datathon
11625,/c/pwaic-knn
3638,/c/conway-s-reverse-game-of-life
12732,/c/p1-faces-2019
12528,/c/ml1819-whats-cooking
4588,/c/telstra-recruiting-network
12706,/c/lpd-2019
12353,/c/fashion-mnist-challenge2019
3586,/c/crowdflower-weather-twitter
12521,/c/compass-canada
12232,/c/ml1819-bank-marketing
11760,/c/pom681-data-analytics-and-data-mining
12093,/c/competition-on-introduction-to-ai
12020,/c/hackexpo2018
11930,/c/challengeoh
11982,/c/ub-politician-tweets
11891,/c/churn-modelling
11709,/c/hackexpo2018-pre-competition
11699,/c/text-classification-for-mo
11461,/c/f2018-hand-drawn-pictures
11343,/c/hmif-iit-challenge-2018-dataset-2
11422,/c/basichouseprices
10481,/c/ipr
10141,/c/iaj-mls-visualization
11178,/c/bank-issues-competition
10689,/c/dsn2018intercampus
10039,/c/learning-nlp
10619,/c/zestfinance-lets-help-tanzania
10298,/c/anothertestcomp
10065,/c/ai-for-good-advanced
9921,/c/il18auc
8907,/c/data-challenge-2018
8897,/c/ai-hack-2018-msk-gpn
9052,/c/predictive-maintenance1
12176,/c/flight-delays-fall-2018
12887,/c/methods-club-cifar10
13030,/c/predictive-maintenance
13012,/c/coderit
12546,/c/openedulearningdataanalysis
12836,/c/challenge-gh
12801,/c/k-nearest-neigbors
12805,/c/hello-kaggle-f464
12743,/c/challenge-sk
12650,/c/bc-real-estate
12647,/c/lexisnexis-fraud-prediction
12619,/c/hackathonafsup
4120,/c/avazu-ctr-prediction
12398,/c/challengearo
12516,/c/challenge-mb
12482,/c/technidus-machine-learning-competition-2
12060,/c/recommendations-skill-factory
12330,/c/why-do-we-move
8801,/c/classifying-20-newsgroups
12530,/c/gbm-2018
12495,/c/bird-airplane-mipt
8575,/c/mlm1
12449,/c/elmed219
10923,/c/trocafone
12376,/c/GISIII-kaggle-excercise
12172,/c/2018-2-dpp-02
12078,/c/fugaprueba
12331,/c/dummy-inclass
12275,/c/semera-barx-1
10090,/c/boston-dataset
11929,/c/challengejt
11090,/c/cartrisk
12336,/c/think-like-a-bookmaker
12215,/c/challengedo
11917,/c/neural-computation-uob-2018
12258,/c/cit653-fall2018
12157,/c/gradient-boston-housing
12168,/c/kcs-inclass-competition-vol1
12072,/c/devfestq2
11958,/c/combatendo-o-cncer-de-mama
11718,/c/obligatorio-deep-learning-2018
11897,/c/challengeem
11614,/c/comp180bikeshare
11927,/c/challengermo
6852,/c/multinli-matched-open-evaluation
10985,/c/IIITB-quora-question-similarity
11818,/c/challengepv
11890,/c/tamu-dgci
11973,/c/edsa-property-prices
10920,/c/ids-minor-web-2018
11898,/c/imdb-sentiment
11781,/c/challengevz
11749,/c/kdag2
11734,/c/oxford-time-series
11444,/c/final-mth3302-a2018
10518,/c/usedcarvaluation
11094,/c/analytics-connect-18
2564,/c/DontGetKicked
11248,/c/bananaforcasting
10895,/c/ga-dat-syd13
10853,/c/vsu-ml-1-regression
10921,/c/atz-mnist-digit-classification
11167,/c/data-analytics-challenge-prodigy18
11005,/c/ing-wbaa-wsai-2018
11170,/c/oxfaiw2
10768,/c/ai-community-inno-checkscan
11026,/c/biinsights
11039,/c/bda18-amazon
10021,/c/fashion-mnist-itba-lab-ml-2018b
10897,/c/physical-activity-recognition
10693,/c/itmo2018ctml
10628,/c/kangaroo-insurance-fraud-detection
10565,/c/videogame-regression-class1
10363,/c/aia-dnn-classification
9978,/c/alta-2018-challenge
10329,/c/ci-letter-recognition
10172,/c/sleep-time-detection
10171,/c/predict-my-function
8215,/c/tears-and-arguments-part-1
10094,/c/aia-homework-iris-dataset
10077,/c/info490-hw1
9466,/c/linear-classification-sysu-2018
9888,/c/fiducial-image-classfication
9835,/c/hw3influencemaximization
9823,/c/fashion-mnist-itba-lab-ml
9070,/c/hapt-classification-2018
11405,/c/wallarm-ml-hackathon
